account_number,customer_id,initial_balance,overdraft_limit,branch_id,account_open_date
ACC000001,CUST0001,733.32,3307.35,1,2019-06-17
ACC000002,CUST0002,2105.29,3110.12,1,2013-07-15
ACC000003,CUST0003,1857.97,2180.63,1,2012-07-26
ACC000004,CUST0004,215.59,3070.71,1,2020-08-08
ACC000005,CUST0005,941.81,2795.03,1,2015-05-16
ACC000006,CUST0006,510.76,3787.6,1,2015-01-13
ACC000007,CUST0007,862.91,1796.47,1,2014-10-16
ACC000008,CUST0008,536.08,1802.0,1,2013-11-07
ACC000009,CUST0009,997.39,2564.36,1,2020-07-18
ACC000010,CUST0010,1954.08,2247.91,1,2013-06-08
ACC000011,CUST0011,848.65,1579.75,1,2019-11-16
ACC000012,CUST0012,248.86,1869.43,1,2020-08-04
ACC000013,CUST0013,1965.03,3578.47,1,2022-04-17
ACC000014,CUST0014,5045.92,2870.16,1,2018-05-27
ACC000015,CUST0015,851.96,1607.73,1,2013-04-06
ACC000016,CUST0016,1451.02,2128.23,1,2018-11-28
ACC000017,CUST0017,1316.29,3392.83,1,2017-01-07
ACC000018,CUST0018,1639.07,2778.36,1,2012-08-23
ACC000019,CUST0019,2221.03,2260.21,1,2012-08-15
ACC000020,CUST0020,1068.69,2513.72,1,2013-05-03
ACC000021,CUST0021,598.56,2242.77,1,2014-09-27
ACC000022,CUST0022,2900.25,4061.65,1,2014-11-23
ACC000023,CUST0023,923.03,2720.49,1,2017-12-14
ACC000024,CUST0024,1335.19,2936.5,1,2019-01-14
ACC000025,CUST0025,988.73,2014.25,1,2012-08-01
ACC000026,CUST0026,2317.97,3364.68,1,2018-07-31
ACC000027,CUST0027,2097.77,3307.34,1,2014-07-08
ACC000028,CUST0028,307.52,2769.25,1,2020-04-25
ACC000029,CUST0029,603.37,2179.95,1,2019-07-29
ACC000030,CUST0030,994.05,2355.47,1,2020-02-25
ACC000031,CUST0031,932.05,2224.86,1,2018-05-26
ACC000032,CUST0032,1545.73,1813.12,1,2016-12-28
ACC000033,CUST0033,755.73,2622.58,1,2014-10-04
ACC000034,CUST0034,620.41,3088.31,1,2017-04-28
ACC000035,CUST0035,1463.98,4055.06,1,2018-11-23
ACC000036,CUST0036,1428.43,2157.69,1,2015-05-29
ACC000037,CUST0037,468.71,3069.78,1,2021-05-13
ACC000038,CUST0038,3337.58,3261.54,1,2022-01-13
ACC000039,CUST0039,836.02,1894.22,1,2012-05-11
ACC000040,CUST0040,653.44,1435.41,1,2020-10-18
