transaction_id,account_number,customer_id,transaction_date,transaction_time,transaction_amount,transaction_type,merchant_description,category,balance_after_transaction,location,channel
00000000001,ACCT00000100,CUST00042,2025-08-07,17:44:00,42.45,debit,PizzaPal,dining,2028.09,Sakarya,mobile
00000000002,ACCT00000055,CUST00012,2025-07-21,22:29:03,44.72,credit,BistroBella,dining,3831.99,Gaziantep,mobile
00000000003,ACCT00000128,CUST00118,2025-08-09,16:33:35,214.88,debit,BankTransfer,transfer,3139.40,Mersin,mobile
00000000004,ACCT00000163,CUST00065,2025-07-19,19:27:53,486.88,debit,BankTransfer,transfer,809.86,Sakarya,online
00000000005,ACCT00000229,CUST00068,2025-08-05,19:17:49,56.22,debit,PharmaPlus,health,2149.93,Trabzon,mobile
00000000006,ACCT00000249,CUST00064,2025-06-15,16:17:21,30.73,debit,FunLand,entertainment,3255.94,Adana,mobile
00000000007,ACCT00000042,CUST00072,2025-06-12,11:04:26,66.05,debit,FreshMart,groceries,3824.99,Konya,mobile
00000000008,ACCT00000170,CUST00138,2025-07-04,15:57:49,1.00,debit,StyleHub,shopping,3806.76,Mersin,mobile
00000000009,ACCT00000011,CUST00174,2025-06-23,18:48:24,34.49,credit,PharmaPlus,health,4505.21,Diyarbakir,mobile
00000000010,ACCT00000215,CUST00021,2025-06-13,13:31:14,47.36,debit,TechWorld,shopping,2393.48,Antalya,online
00000000011,ACCT00000224,CUST00033,2025-07-06,16:46:10,237.25,debit,StyleHub,shopping,1730.57,Diyarbakir,mobile
00000000012,ACCT00000240,CUST00080,2025-08-08,13:01:05,260.13,credit,BankTransfer,transfer,2748.17,Eskisehir,atm
00000000013,ACCT00000220,CUST00195,2025-06-26,17:13:29,46.39,debit,GreenGrocer,groceries,1014.42,Adana,mobile
00000000014,ACCT00000173,CUST00197,2025-07-08,18:16:53,17.74,credit,PizzaPal,dining,3673.49,Ankara,mobile
00000000015,ACCT00000241,CUST00103,2025-06-13,16:41:04,44.98,credit,DailyFoods,groceries,3585.30,Trabzon,mobile
00000000016,ACCT00000021,CUST00060,2025-06-04,23:15:08,25.97,debit,BistroBella,dining,717.80,Kayseri,mobile
00000000017,ACCT00000059,CUST00032,2025-07-02,14:10:38,118.92,debit,MegaStore,shopping,1235.62,Mersin,mobile
00000000018,ACCT00000059,CUST00032,2025-05-19,13:59:19,47.34,debit,BistroBella,dining,1188.28,Mersin,atm
00000000019,ACCT00000193,CUST00130,2025-08-04,11:15:06,128.35,debit,TeleNet,utilities,495.85,Samsun,mobile
00000000020,ACCT00000155,CUST00109,2025-05-21,18:22:34,21.87,debit,MediCare,health,2997.61,Konya,online
00000000021,ACCT00000190,CUST00161,2025-07-17,18:06:27,78.46,debit,DailyFoods,groceries,3479.37,Adana,mobile
00000000022,ACCT00000236,CUST00187,2025-08-07,16:17:39,33.27,debit,PizzaPal,dining,1412.55,Trabzon,mobile
00000000023,ACCT00000248,CUST00031,2025-06-16,15:53:59,1.72,debit,TechWorld,shopping,3485.62,Ankara,online
00000000024,ACCT00000143,CUST00057,2025-08-09,20:24:21,56.57,debit,MediCare,health,2104.90,Istanbul,online
00000000025,ACCT00000254,CUST00151,2025-06-18,12:21:17,88.74,debit,MediCare,health,4040.79,Sakarya,mobile
00000000026,ACCT00000142,CUST00093,2025-07-07,16:31:35,145.93,debit,TechWorld,shopping,516.20,Trabzon,atm
00000000027,ACCT00000124,CUST00168,2025-05-18,19:05:18,24.85,debit,SushiGo,dining,2749.49,Bursa,online
00000000028,ACCT00000208,CUST00029,2025-07-25,20:33:22,50.46,debit,PizzaPal,dining,2411.80,Konya,online
00000000029,ACCT00000170,CUST00138,2025-05-31,16:46:12,86.43,debit,AquaCity,utilities,3720.33,Adana,mobile
00000000030,ACCT00000062,CUST00142,2025-07-16,20:17:46,39.97,debit,SushiGo,dining,3770.85,Mersin,mobile
00000000031,ACCT00000145,CUST00131,2025-06-23,16:00:45,178.12,credit,BankTransfer,transfer,2612.16,Gaziantep,mobile
00000000032,ACCT00000065,CUST00159,2025-06-01,13:40:55,667.24,debit,CityRentals,rent,58.40,Trabzon,online
00000000033,ACCT00000252,CUST00087,2025-07-11,21:21:11,80.31,debit,FreshMart,groceries,1476.60,Istanbul,online
00000000034,ACCT00000130,CUST00068,2025-07-17,20:04:36,239.20,credit,BankTransfer,transfer,937.59,Eskisehir,mobile
00000000035,ACCT00000028,CUST00167,2025-06-16,15:07:35,69.04,debit,DailyFoods,groceries,1293.12,Trabzon,atm
00000000036,ACCT00000214,CUST00146,2025-07-12,22:58:28,148.91,debit,TechWorld,shopping,1237.75,Antalya,mobile
00000000037,ACCT00000220,CUST00195,2025-06-11,22:40:13,795.70,debit,CityRentals,rent,218.72,Antalya,online
00000000038,ACCT00000042,CUST00072,2025-07-07,19:28:44,1.00,debit,FreshMart,groceries,3823.99,Mersin,online
00000000039,ACCT00000241,CUST00103,2025-07-13,16:04:43,810.45,debit,CityRentals,rent,2774.85,Bursa,mobile
00000000040,ACCT00000136,CUST00068,2025-06-10,11:27:07,36.38,debit,SushiGo,dining,3639.12,Gaziantep,online
00000000041,ACCT00000116,CUST00103,2025-06-06,18:50:19,35.61,debit,FunLand,entertainment,4468.10,Mersin,online
00000000042,ACCT00000148,CUST00194,2025-06-19,15:32:34,179.12,debit,AquaCity,utilities,4519.78,Kayseri,online
00000000043,ACCT00000225,CUST00169,2025-08-01,15:16:01,39.79,debit,FreshMart,groceries,3597.65,Ankara,online
00000000044,ACCT00000118,CUST00017,2025-06-19,18:36:02,387.31,debit,BankTransfer,transfer,812.21,Trabzon,branch
00000000045,ACCT00000090,CUST00180,2025-07-29,19:27:40,77.62,debit,TechWorld,shopping,2479.89,Diyarbakir,mobile
00000000046,ACCT00000252,CUST00087,2025-08-09,20:06:54,264.56,credit,BankTransfer,transfer,1741.16,Izmir,mobile
00000000047,ACCT00000169,CUST00175,2025-07-25,16:02:29,91.92,credit,AquaCity,utilities,3606.50,Ankara,mobile
00000000048,ACCT00000162,CUST00136,2025-07-20,13:52:00,47.16,debit,PetroMax,fuel,4052.33,Eskisehir,atm
00000000049,ACCT00000237,CUST00177,2025-07-18,18:40:28,131.84,debit,PowerGrid,utilities,3904.07,Trabzon,online
00000000050,ACCT00000027,CUST00184,2025-08-13,16:31:07,55.10,debit,SpeedGas,fuel,936.61,Istanbul,mobile
